acousticness,analysis_url,artistPopularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,trackPopularity,track_href,type,uri,valence
0.101,https://api.spotify.com/v1/audio-analysis/7GN6EEENu7xnl2lEipjN4X,75,0.686,311227,0.417,7GN6EEENu7xnl2lEipjN4X,0.166,6,0.123,-6.294,0,0.0261,1,95.989,3,17,https://api.spotify.com/v1/tracks/7GN6EEENu7xnl2lEipjN4X,audio_features,spotify:track:7GN6EEENu7xnl2lEipjN4X,0.563
0.75,https://api.spotify.com/v1/audio-analysis/3w4hSYOCUcsfk86JcjkO1a,64,0.41,227667,0.279,3w4hSYOCUcsfk86JcjkO1a,0.244,10,0.112,-13.248,1,0.0315,1,115.302,3,45,https://api.spotify.com/v1/tracks/3w4hSYOCUcsfk86JcjkO1a,audio_features,spotify:track:3w4hSYOCUcsfk86JcjkO1a,0.245
0.853,https://api.spotify.com/v1/audio-analysis/3XRDrBtoCJAMDQJgSzJ9WT,70,0.598,202107,0.343,3XRDrBtoCJAMDQJgSzJ9WT,0.0219,0,0.123,-11.04,0,0.025,1,103.984,4,28,https://api.spotify.com/v1/tracks/3XRDrBtoCJAMDQJgSzJ9WT,audio_features,spotify:track:3XRDrBtoCJAMDQJgSzJ9WT,0.419
0.561,https://api.spotify.com/v1/audio-analysis/3XWUy9BZzFYd5cQSDY3nae,52,0.678,222439,0.374,3XWUy9BZzFYd5cQSDY3nae,0.0249,0,0.103,-9.387,0,0.0475,1,82.058,4,56,https://api.spotify.com/v1/tracks/3XWUy9BZzFYd5cQSDY3nae,audio_features,spotify:track:3XWUy9BZzFYd5cQSDY3nae,0.0519
0.248,https://api.spotify.com/v1/audio-analysis/2d1fFtfsPOqCoTURgBKV7N,67,0.729,199387,0.406,2d1fFtfsPOqCoTURgBKV7N,0.0,8,0.114,-9.388,1,0.0533,1,127.954,4,63,https://api.spotify.com/v1/tracks/2d1fFtfsPOqCoTURgBKV7N,audio_features,spotify:track:2d1fFtfsPOqCoTURgBKV7N,0.177
0.792,https://api.spotify.com/v1/audio-analysis/2a1V9QpXiVGHkb6m0vabRU,62,0.456,183667,0.405,2a1V9QpXiVGHkb6m0vabRU,0.0,7,0.126,-5.236,1,0.0315,1,158.818,3,44,https://api.spotify.com/v1/tracks/2a1V9QpXiVGHkb6m0vabRU,audio_features,spotify:track:2a1V9QpXiVGHkb6m0vabRU,0.295
0.968,https://api.spotify.com/v1/audio-analysis/4iH31mAwPbG9SSPN6nHWgu,75,0.441,208227,0.379,4iH31mAwPbG9SSPN6nHWgu,0.262,2,0.639,-9.545,1,0.0449,1,174.118,3,55,https://api.spotify.com/v1/tracks/4iH31mAwPbG9SSPN6nHWgu,audio_features,spotify:track:4iH31mAwPbG9SSPN6nHWgu,0.105
0.648,https://api.spotify.com/v1/audio-analysis/5Wvf91821sBE8aErRtpfRN,64,0.689,211795,0.399,5Wvf91821sBE8aErRtpfRN,0.0167,6,0.0704,-10.906,1,0.028,1,117.027,4,17,https://api.spotify.com/v1/tracks/5Wvf91821sBE8aErRtpfRN,audio_features,spotify:track:5Wvf91821sBE8aErRtpfRN,0.432
0.229,https://api.spotify.com/v1/audio-analysis/1Omt5bfz1tZUCqd26HxbS0,75,0.58,240600,0.687,1Omt5bfz1tZUCqd26HxbS0,0.0,6,0.109,-5.4,1,0.106,1,76.014,4,71,https://api.spotify.com/v1/tracks/1Omt5bfz1tZUCqd26HxbS0,audio_features,spotify:track:1Omt5bfz1tZUCqd26HxbS0,0.187
0.224,https://api.spotify.com/v1/audio-analysis/58iT2lT6yiTwJyN8zlXrKt,62,0.473,243733,0.46,58iT2lT6yiTwJyN8zlXrKt,0.403,4,0.0802,-10.936,1,0.0263,1,141.011,4,62,https://api.spotify.com/v1/tracks/58iT2lT6yiTwJyN8zlXrKt,audio_features,spotify:track:58iT2lT6yiTwJyN8zlXrKt,0.428
